,body
198,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
199,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
200,"{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.6072}"
201,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}"
202,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
203,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
204,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
205,"{'neg': 0.373, 'neu': 0.567, 'pos': 0.06, 'compound': -0.8885}"
206,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
207,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
208,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
209,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
210,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
211,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
212,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
213,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
214,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
215,"{'neg': 0.243, 'neu': 0.661, 'pos': 0.096, 'compound': -0.5371}"
216,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
217,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}"
218,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
219,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
220,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.686}"
221,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}"
222,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
223,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
224,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.8834}"
225,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
226,"{'neg': 0.066, 'neu': 0.806, 'pos': 0.128, 'compound': 0.3182}"
227,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.7964}"
228,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
229,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}"
230,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
231,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.2584}"
232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
233,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}"
234,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
235,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.6908}"
236,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
237,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
238,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
239,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
240,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
241,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
242,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.1531}"
243,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}"
244,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.1695}"
245,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}"
246,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}"
247,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
248,"{'neg': 0.251, 'neu': 0.452, 'pos': 0.296, 'compound': 0.2263}"
249,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}"
250,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
251,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.34}"
252,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
253,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
254,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
255,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
256,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
257,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.836}"
258,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
