date_,ticker,close,diffs,bin_2,bin_3,bin_5,high,vol,max_pos,min_neu,std_neg,std_neu,std_pos,mean_comp,mean_neg,mean_pos,count
2019-01-10 17:00:00,GOOG,1063.3057,-1.0197065887215473,-1,-1,-2,1069.0,98812.0,0.332,0.668,0.043659066989971,0.1063965017268432,0.1061928789337208,0.1812458333333333,0.011875,0.0751666666666666,24.0
2019-01-10 18:00:00,GOOG,1065.55,0.2110681810508552,1,0,0,1067.6335,130114.0,0.231,0.769,0.0,0.0534281894562358,0.0534281894562358,0.5008625,0.0,0.1665,8.0
2019-01-10 19:00:00,GOOG,1064.82,-0.068509220590307,-1,0,0,1067.3,131610.0,0.332,0.668,0.099597322587842,0.1085492514944253,0.1014828064255221,-0.0822079999999999,0.08028,0.06152,25.0
2019-01-10 20:00:00,GOOG,1067.02,0.2066076895625546,1,0,0,1068.32,58298.0,0.339,0.661,0.0265446964643423,0.1008621582380534,0.103354480544622,0.2981921052631579,0.0070263157894736,0.1245,38.0
2019-01-10 21:00:00,GOOG,1063.63,-0.3177072594702901,-1,-1,-1,1067.3322,67060.0,0.332,0.668,0.0849993653227079,0.1198144508462103,0.120099257195652,0.16275,0.04545,0.0984,20.0
2019-01-10 22:00:00,GOOG,1066.3875,0.2592536878425644,1,1,1,1070.58,64355.0,0.574,0.426,0.0362648984162765,0.1293744272421811,0.1316070252338722,0.2137545454545454,0.01,0.1058636363636363,22.0
2019-01-10 23:00:00,GOOG,1069.22,0.2656163917900356,1,1,1,1071.15,150390.0,0.332,0.668,0.0529484025569547,0.1177948605273874,0.1140189859920998,0.1185,0.02375,0.0720625,16.0
2019-01-11 17:00:00,GOOG,1057.77,-1.0708740951347773,-1,-1,-2,1063.775,136681.0,0.332,0.668,0.0594676474976192,0.1057410531897159,0.1177804112521486,0.2028285714285714,0.0386428571428571,0.1160714285714285,14.0
2019-01-11 18:00:00,GOOG,1053.875,-0.3682274974710964,-1,-1,-1,1058.72,172149.0,0.332,0.518,0.1174113627575081,0.1489888358321333,0.1089618869626325,0.1185722222222222,0.0656111111111111,0.0838888888888888,18.0
2019-01-11 19:00:00,GOOG,1054.875,0.0948879136519975,1,0,0,1057.0264,101775.0,0.34,0.256,0.1600608177161586,0.1716310159257516,0.1201716665326292,0.2450090909090909,0.0553181818181818,0.1100909090909091,22.0
2019-01-11 20:00:00,GOOG,1054.439,-0.0413319113638954,-1,0,0,1056.442,97783.0,0.332,0.668,0.0404796245041872,0.1101826189732732,0.1074535558586437,0.2739733333333333,0.0182,0.1015333333333333,15.0
2019-01-11 21:00:00,GOOG,1050.6,-0.3640798566820979,-1,-1,-1,1055.07,77680.0,0.332,0.376,0.1122653019579755,0.177413286729885,0.1000255896112344,0.2039304347826087,0.0470434782608695,0.1061304347826087,23.0
2019-01-11 22:00:00,GOOG,1055.06,0.4245193222920163,1,1,1,1056.39,89054.0,0.231,0.676,0.1580958118176623,0.1353241258889893,0.104878387623362,0.0941999999999999,0.0925714285714285,0.0818571428571428,7.0
2019-01-11 23:00:00,GOOG,1057.17,0.1999886262392891,1,0,0,1059.91,196593.0,0.706,0.294,0.0516978986736668,0.2139515238212959,0.2180300229534706,0.2033636363636363,0.0205454545454545,0.1330909090909091,11.0
2019-01-14 17:00:00,GOOG,1043.66,-1.2779401609958607,-1,-1,-2,1051.37,119803.0,0.332,0.488,0.0588960426715117,0.1222258871421464,0.1080316045711017,0.1573689655172414,0.0293793103448275,0.090551724137931,29.0
2019-01-14 18:00:00,GOOG,1048.875,0.4996838050706165,1,1,1,1050.16,106508.0,0.332,0.668,0.0539672740340538,0.0917946757715282,0.0843028024445213,0.08108125,0.01975,0.0378125,16.0
2019-01-14 19:00:00,GOOG,1048.33,-0.051960433798126,-1,0,0,1051.53,47609.0,0.316,0.684,0.0407649086565612,0.121929396692421,0.1060688979442659,0.2137222222222222,0.0204444444444444,0.0718888888888888,9.0
2019-01-14 20:00:00,GOOG,1047.915,-0.0395867713410824,-1,0,0,1050.61,48849.0,0.332,0.668,0.08149679302112,0.1055385539205287,0.1138189351557991,0.2552583333333333,0.0435,0.11175,12.0
2019-01-14 21:00:00,GOOG,1046.855,-0.101153242390839,-1,0,0,1050.67,71237.0,0.332,0.593,0.0643210264567073,0.1608701166918344,0.146187474763667,0.2493888888888888,0.0322222222222222,0.1195555555555555,9.0
2019-01-14 22:00:00,GOOG,1047.2814,0.0407315244231654,1,0,0,1047.5,62152.0,0.284,0.431,0.1109169358874769,0.2139988317725122,0.1299544792097089,0.09105,0.0701666666666666,0.1051666666666666,6.0
2019-01-14 23:00:00,GOOG,1044.41,-0.2741765489199022,-1,-1,-1,1047.89,155172.0,0.398,0.602,0.0,0.1739643641669178,0.1739643641669178,0.3898833333333333,0.0,0.172,6.0
2019-01-15 17:00:00,GOOG,1063.99,1.874742677684038,1,1,2,1065.0,119150.0,0.332,0.597,0.0985457824659689,0.1494155170389814,0.1307067890581141,0.2082333333333333,0.0437222222222222,0.0921666666666666,18.0
2019-01-15 18:00:00,GOOG,1066.1908,0.2068440492861922,1,0,0,1068.45,143978.0,0.332,0.655,0.0798583842715437,0.1176794603344839,0.1099687508060637,0.3037,0.0311923076923076,0.1236153846153846,26.0
2019-01-15 19:00:00,GOOG,1077.41,1.052269443705578,1,1,2,1077.41,125529.0,0.332,0.668,0.0292754163078853,0.110496587428451,0.1074574140454409,0.239525,0.0103749999999999,0.0948125,16.0
2019-01-15 20:00:00,GOOG,1073.56,-0.357338431980414,-1,-1,-1,1080.05,93246.0,0.338,0.614,0.0834272537404094,0.1293532888384881,0.1248752711041435,0.123888,0.06676,0.113,25.0
2019-01-15 21:00:00,GOOG,1074.97,0.1313387234993968,1,0,0,1075.3956,75692.0,0.316,0.684,0.094593621435984,0.1095402406765905,0.1051694261044268,0.0622947368421052,0.0577894736842105,0.0709473684210526,19.0
2019-01-15 22:00:00,GOOG,1069.75,-0.4855949468357323,-1,-1,-1,1075.42,92470.0,0.332,0.668,0.0814302798484106,0.1222094416117168,0.1103531991898221,0.0944428571428571,0.0317619047619047,0.0628571428571428,21.0
2019-01-15 23:00:00,GOOG,1077.14,0.690815611124096,1,1,1,1077.52,142153.0,0.398,0.602,0.0364159992311071,0.1336252756244652,0.1437124485114037,0.3878,0.012875,0.140125,8.0
2019-01-16 17:00:00,GOOG,1089.14,1.1140613105074637,1,1,2,1091.65,133590.0,0.16,0.653,0.1042223729834579,0.1291513089599196,0.0556204671288938,0.009940909090909,0.0622727272727272,0.0367272727272727,22.0
2019-01-16 18:00:00,GOOG,1082.41,-0.617918724865496,-1,-1,-1,1092.375,152047.0,0.136,0.706,0.0723773412896863,0.1057293798070619,0.0458442570714451,-0.089278947368421,0.0534210526315789,0.0321578947368421,19.0
2019-01-16 19:00:00,GOOG,1083.78,0.1265694145471618,1,0,0,1087.39,85027.0,0.238,0.659,0.1159041718674399,0.1223580368324417,0.0884528024903579,-0.0223363636363636,0.0795909090909091,0.0532272727272727,22.0
2019-01-16 20:00:00,GOOG,1083.4,-0.0350624665522381,-1,0,0,1085.83,73261.0,0.259,0.741,0.0294812288947197,0.1049711978637587,0.0946834324523165,0.3037999999999999,0.0111428571428571,0.1214285714285714,7.0
2019-01-16 21:00:00,GOOG,1080.34,-0.2824441572826464,-1,-1,-1,1083.82,71391.0,0.24,0.712,0.0833768007846961,0.1131035728074855,0.0770507506895175,-0.0647454545454545,0.0659090909090909,0.0442727272727272,11.0
2019-01-16 22:00:00,GOOG,1081.84,0.138845178369773,1,0,0,1084.11,49556.0,0.195,0.805,0.0,0.0863954088286331,0.0863954088286331,0.1213,0.0,0.0541666666666666,6.0
2019-01-17 17:00:00,GOOG,1087.492,0.522443244842119,1,1,1,1087.565,82882.0,0.316,0.524,0.1334859543172988,0.1424638055698215,0.1027274836518246,0.2793538461538462,0.05,0.1114615384615384,13.0
2019-01-17 18:00:00,GOOG,1078.6,-0.8176611873926487,-1,-1,-2,1087.3303,77126.0,0.298,0.702,0.0558512441388862,0.1185473492996533,0.1058841153688592,0.1559272727272727,0.0228636363636363,0.0802727272727272,22.0
2019-01-17 19:00:00,GOOG,1079.75,0.106619692193588,1,0,0,1081.6891,50657.0,0.52,0.48,0.0887927660512403,0.1507877107463377,0.1292954026110891,0.1907090909090909,0.0249696969696969,0.0886363636363636,33.0
2019-01-17 20:00:00,GOOG,1078.09,-0.1537392915026747,-1,0,0,1081.76,41348.0,0.737,0.263,0.0817786320851501,0.1565062021866924,0.1472365091135066,0.1649605263157894,0.0366578947368421,0.0987105263157894,38.0
2019-01-17 21:00:00,GOOG,1079.0311,0.0872932686510452,1,0,0,1081.22,47219.0,0.398,0.467,0.0956909389295892,0.1307472695120188,0.1033725631358203,0.1041323529411764,0.0438235294117647,0.0841470588235294,34.0
2019-01-17 22:00:00,GOOG,1083.81,0.442888068749836,1,1,1,1091.505,93971.0,0.375,0.625,0.0840914637106873,0.116520886364052,0.0963646218841603,0.1546368421052631,0.0345263157894736,0.0851578947368421,19.0
