<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GOOG,60,20180508,190000,1048.0400000,1056.5000000,1047.6700000,1051.9400000,81080
US1.GOOG,60,20180508,200000,1051.9800000,1053.9000000,1049.3700000,1051.3000000,52829
US1.GOOG,60,20180508,210000,1051.2200000,1055.8000000,1051.2200000,1052.5200000,42687
US1.GOOG,60,20180508,220000,1052.9400000,1056.7100000,1048.8000000,1052.0700000,69351
US1.GOOG,60,20180508,230000,1051.0100000,1054.8200000,1050.4500000,1053.9100000,107359
US1.GOOG,60,20180509,170000,1058.1000000,1064.7600000,1056.3700000,1062.1700000,135224
US1.GOOG,60,20180509,180000,1062.3700000,1072.8000000,1061.6000000,1067.3900000,178735
US1.GOOG,60,20180509,190000,1067.4700000,1071.0000000,1065.5000000,1071.0000000,57865
US1.GOOG,60,20180509,200000,1070.7700000,1076.1200000,1070.2200000,1074.5300000,72235
US1.GOOG,60,20180509,210000,1074.8900000,1080.5300000,1074.1300000,1080.5300000,72789
US1.GOOG,60,20180509,220000,1080.4600000,1085.4400000,1079.9000000,1084.1600000,146515
US1.GOOG,60,20180509,230000,1084.0300000,1085.3300000,1081.5000000,1082.5900000,242881
US1.GOOG,60,20180510,170000,1086.5100000,1100.4400000,1084.8400000,1097.0800000,231270
US1.GOOG,60,20180510,180000,1097.0400000,1097.9600000,1092.1500000,1096.9400000,147027
US1.GOOG,60,20180510,190000,1096.8900000,1098.3800000,1092.7000000,1093.4100000,76085
US1.GOOG,60,20180510,200000,1093.3600000,1097.9900000,1093.3200000,1097.6600000,69995
US1.GOOG,60,20180510,210000,1097.6700000,1099.0200000,1091.2700000,1092.6600000,78212
US1.GOOG,60,20180510,220000,1093.1000000,1095.0500000,1090.6600000,1093.3100000,58292
US1.GOOG,60,20180510,230000,1093.7800000,1098.0400000,1091.7300000,1097.5500000,127685
US1.GOOG,60,20180511,170000,1093.6000000,1096.3100000,1090.9100000,1094.8500000,122251
US1.GOOG,60,20180511,180000,1094.6000000,1100.6700000,1093.7400000,1100.1900000,107925
US1.GOOG,60,20180511,190000,1100.1200000,1101.3300000,1096.2900000,1099.3200000,55637
US1.GOOG,60,20180511,200000,1099.3300000,1099.3300000,1092.4400000,1095.1800000,66115
US1.GOOG,60,20180511,210000,1095.1400000,1097.0000000,1093.3600000,1094.1000000,56264
US1.GOOG,60,20180511,220000,1094.5000000,1094.7600000,1091.4000000,1093.4700000,53080
US1.GOOG,60,20180511,230000,1093.6700000,1098.5000000,1093.0000000,1098.2600000,126223
US1.GOOG,60,20180514,170000,1099.5100000,1110.7500000,1099.2600000,1109.7400000,202314
US1.GOOG,60,20180514,180000,1109.3500000,1109.9400000,1104.7800000,1106.1600000,97166
US1.GOOG,60,20180514,190000,1105.6600000,1108.9000000,1103.4000000,1105.3400000,67859
US1.GOOG,60,20180514,200000,1105.3400000,1109.3100000,1103.5600000,1103.9300000,76982
US1.GOOG,60,20180514,210000,1104.1100000,1104.8300000,1101.0100000,1102.8600000,73674
US1.GOOG,60,20180514,220000,1103.0900000,1104.2400000,1100.3100000,1103.8000000,75104
US1.GOOG,60,20180514,230000,1103.5800000,1104.9000000,1099.1100000,1100.5800000,171780
US1.GOOG,60,20180515,170000,1090.0000000,1090.0500000,1079.7100000,1080.3700000,196953
US1.GOOG,60,20180515,180000,1081.0200000,1088.1800000,1079.5900000,1082.1300000,111136
US1.GOOG,60,20180515,190000,1082.3700000,1084.5100000,1079.0000000,1080.3100000,78898
US1.GOOG,60,20180515,200000,1080.1200000,1083.5000000,1078.2200000,1081.3100000,71535
US1.GOOG,60,20180515,210000,1081.0900000,1081.9400000,1075.0000000,1075.4500000,76794
US1.GOOG,60,20180515,220000,1075.1200000,1079.6500000,1073.9300000,1076.7300000,74654
US1.GOOG,60,20180515,230000,1077.3300000,1079.7700000,1073.4700000,1079.2600000,128017
US1.GOOG,60,20180516,170000,1077.3100000,1082.8000000,1076.2600000,1081.7600000,91537
US1.GOOG,60,20180516,180000,1082.2200000,1088.2600000,1081.3800000,1086.1700000,87845
US1.GOOG,60,20180516,190000,1085.7200000,1086.7900000,1082.4500000,1086.6200000,42595
US1.GOOG,60,20180516,200000,1086.7900000,1089.2700000,1086.0000000,1086.7300000,58415
US1.GOOG,60,20180516,210000,1086.8300000,1086.8600000,1084.0000000,1085.0200000,38770
US1.GOOG,60,20180516,220000,1084.9200000,1086.7700000,1084.7700000,1086.0300000,27488
US1.GOOG,60,20180516,230000,1085.9100000,1085.9100000,1078.0400000,1081.9100000,107887
US1.GOOG,60,20180517,170000,1079.8900000,1083.1500000,1076.6900000,1078.0000000,114908
US1.GOOG,60,20180517,180000,1078.1200000,1086.8700000,1077.8700000,1086.5600000,80864
US1.GOOG,60,20180517,190000,1086.0900000,1086.0900000,1082.2900000,1082.5300000,41833
US1.GOOG,60,20180517,200000,1082.2400000,1085.2500000,1078.8300000,1079.7000000,38887
US1.GOOG,60,20180517,210000,1079.4100000,1081.1000000,1075.5900000,1075.8000000,53935
US1.GOOG,60,20180517,220000,1075.6100000,1080.4900000,1073.5000000,1079.7700000,64774
US1.GOOG,60,20180517,230000,1080.0600000,1081.2000000,1076.6000000,1078.4600000,110433
US1.GOOG,60,20180518,170000,1061.8500000,1068.3200000,1061.0000000,1065.6400000,227404
US1.GOOG,60,20180518,180000,1065.2500000,1065.5900000,1060.6800000,1064.0000000,116067
US1.GOOG,60,20180518,190000,1063.6400000,1069.9400000,1063.6300000,1069.2000000,77794
US1.GOOG,60,20180518,200000,1069.1700000,1069.1700000,1066.0800000,1067.0400000,48327
US1.GOOG,60,20180518,210000,1068.1200000,1068.1200000,1065.3200000,1066.3400000,27725
US1.GOOG,60,20180518,220000,1066.6900000,1068.2000000,1065.7500000,1067.2300000,34244
US1.GOOG,60,20180518,230000,1067.3600000,1068.6800000,1065.7200000,1066.6000000,108289
US1.GOOG,60,20180521,170000,1074.0600000,1088.0000000,1073.6500000,1083.6900000,164194
US1.GOOG,60,20180521,180000,1083.3700000,1086.0000000,1080.1000000,1081.5000000,85844
US1.GOOG,60,20180521,190000,1081.9000000,1082.3600000,1073.7100000,1078.7600000,84873
US1.GOOG,60,20180521,200000,1079.1000000,1082.3200000,1078.0500000,1082.1600000,35809
US1.GOOG,60,20180521,210000,1081.7900000,1083.9900000,1081.0000000,1081.6200000,29153
US1.GOOG,60,20180521,220000,1081.6000000,1081.6000000,1075.6700000,1078.9000000,59251
US1.GOOG,60,20180521,230000,1078.7400000,1079.9800000,1076.9200000,1079.5800000,65857
US1.GOOG,60,20180522,170000,1084.6200000,1086.5900000,1078.9500000,1081.3500000,88019
US1.GOOG,60,20180522,180000,1081.3000000,1081.4800000,1074.9300000,1079.4700000,66111
US1.GOOG,60,20180522,190000,1079.3900000,1080.3900000,1074.3000000,1075.6900000,46976
US1.GOOG,60,20180522,200000,1075.6200000,1076.9800000,1072.4900000,1074.6800000,43187
US1.GOOG,60,20180522,210000,1074.4300000,1076.1100000,1073.2300000,1075.2500000,29066
US1.GOOG,60,20180522,220000,1075.2500000,1076.3500000,1073.0700000,1073.2600000,41120
US1.GOOG,60,20180522,230000,1073.1900000,1074.6700000,1066.6900000,1069.7000000,121773
US1.GOOG,60,20180523,170000,1064.1700000,1068.8600000,1063.0000000,1063.7800000,82355
US1.GOOG,60,20180523,180000,1063.9200000,1069.0300000,1061.7100000,1063.7000000,68192
US1.GOOG,60,20180523,190000,1063.4500000,1069.8100000,1063.1300000,1067.7800000,35468
US1.GOOG,60,20180523,200000,1067.0000000,1079.0000000,1067.0000000,1076.0800000,47905
US1.GOOG,60,20180523,210000,1075.6800000,1075.7500000,1070.4900000,1070.5000000,35119
US1.GOOG,60,20180523,220000,1070.8500000,1077.7000000,1070.0000000,1077.3100000,54011
US1.GOOG,60,20180523,230000,1077.3900000,1080.7800000,1075.8700000,1079.9600000,103788
US1.GOOG,60,20180524,170000,1079.0000000,1080.4700000,1070.9600000,1071.7200000,83510
US1.GOOG,60,20180524,180000,1071.8900000,1074.7200000,1066.7000000,1066.7000000,71714
US1.GOOG,60,20180524,190000,1066.7100000,1075.4500000,1066.1500000,1075.4500000,57789
US1.GOOG,60,20180524,200000,1075.7400000,1079.7300000,1074.0100000,1076.8800000,44202
US1.GOOG,60,20180524,210000,1076.7600000,1078.6700000,1076.7500000,1077.5800000,18423
US1.GOOG,60,20180524,220000,1077.6500000,1080.1000000,1077.2800000,1078.7900000,31053
US1.GOOG,60,20180524,230000,1078.7900000,1080.4400000,1077.5200000,1079.7600000,62177
US1.GOOG,60,20180525,170000,1079.0200000,1082.2700000,1076.0800000,1081.9400000,89438
US1.GOOG,60,20180525,180000,1081.3800000,1082.5600000,1078.2100000,1080.0500000,54594
US1.GOOG,60,20180525,190000,1079.8200000,1080.7900000,1076.7200000,1078.4000000,47508
US1.GOOG,60,20180525,200000,1078.0900000,1078.7500000,1075.9300000,1078.2500000,45147
US1.GOOG,60,20180525,210000,1078.2000000,1078.5400000,1075.3500000,1075.4700000,39444
US1.GOOG,60,20180525,220000,1075.7400000,1078.6000000,1075.2500000,1076.1300000,57251
US1.GOOG,60,20180525,230000,1075.8700000,1076.8000000,1073.7800000,1075.2900000,125299
US1.GOOG,60,20180529,170000,1064.8900000,1073.3700000,1063.8000000,1070.8000000,157067
US1.GOOG,60,20180529,180000,1070.7800000,1070.7800000,1060.4200000,1063.7200000,124830
US1.GOOG,60,20180529,190000,1063.4200000,1066.3100000,1059.6600000,1061.7700000,98003
US1.GOOG,60,20180529,200000,1061.1800000,1064.0000000,1057.3500000,1063.5700000,87810
US1.GOOG,60,20180529,210000,1063.1300000,1063.2400000,1058.5000000,1059.0700000,63603
US1.GOOG,60,20180529,220000,1058.1200000,1061.7400000,1055.5000000,1058.1500000,123846
US1.GOOG,60,20180529,230000,1057.8700000,1061.5700000,1055.2200000,1059.6300000,208175
US1.GOOG,60,20180530,170000,1063.6500000,1066.0000000,1057.0700000,1058.6400000,140738
US1.GOOG,60,20180530,180000,1059.0000000,1064.3200000,1056.8300000,1063.4500000,105830
US1.GOOG,60,20180530,190000,1063.5700000,1069.0100000,1062.3900000,1068.2200000,93224
US1.GOOG,60,20180530,200000,1068.4100000,1069.2100000,1065.1400000,1066.2400000,61534
US1.GOOG,60,20180530,210000,1066.5100000,1068.5900000,1065.4600000,1065.7900000,27432
US1.GOOG,60,20180530,220000,1066.2200000,1068.7000000,1065.8100000,1068.7000000,31955
US1.GOOG,60,20180530,230000,1068.8900000,1069.0400000,1066.4400000,1067.4400000,109542
US1.GOOG,60,20180531,170000,1066.7900000,1085.6500000,1064.6700000,1084.3500000,313440
US1.GOOG,60,20180531,180000,1084.8000000,1094.3700000,1084.1100000,1088.6700000,265213
US1.GOOG,60,20180531,190000,1088.7100000,1097.1900000,1088.1000000,1092.7900000,182740
US1.GOOG,60,20180531,200000,1092.5100000,1094.1700000,1087.3300000,1091.3000000,102723
US1.GOOG,60,20180531,210000,1091.1500000,1092.6800000,1086.3400000,1086.3400000,95748
US1.GOOG,60,20180531,220000,1086.5300000,1091.0000000,1084.7400000,1089.9500000,82869
US1.GOOG,60,20180531,230000,1090.1300000,1093.4500000,1085.0000000,1085.0000000,363046
US1.GOOG,60,20180601,170000,1099.3500000,1106.4000000,1098.5000000,1105.7100000,307495
US1.GOOG,60,20180601,180000,1105.9000000,1118.2000000,1104.8700000,1115.8800000,334100
US1.GOOG,60,20180601,190000,1116.4700000,1119.4800000,1115.0000000,1118.7000000,176465
US1.GOOG,60,20180601,200000,1118.5100000,1119.2000000,1116.9800000,1117.7300000,67688
US1.GOOG,60,20180601,210000,1117.8300000,1120.0000000,1117.6100000,1117.6100000,97825
US1.GOOG,60,20180601,220000,1117.7600000,1118.0900000,1114.7700000,1116.9500000,113677
US1.GOOG,60,20180601,230000,1117.1700000,1120.0000000,1115.9400000,1119.5000000,287503
US1.GOOG,60,20180604,170000,1123.4100000,1140.9200000,1121.8400000,1140.5300000,295777
US1.GOOG,60,20180604,180000,1140.4700000,1141.8900000,1133.4300000,1137.4500000,215003
US1.GOOG,60,20180604,190000,1138.0000000,1138.9400000,1132.1000000,1134.3700000,118638
US1.GOOG,60,20180604,200000,1133.9000000,1137.4600000,1129.4500000,1135.6400000,135618
US1.GOOG,60,20180604,210000,1135.5600000,1138.1800000,1135.1200000,1138.1800000,52470
US1.GOOG,60,20180604,220000,1137.9200000,1139.0600000,1135.9400000,1137.3300000,89080
US1.GOOG,60,20180604,230000,1137.1800000,1140.0700000,1136.2000000,1139.2900000,193439
US1.GOOG,60,20180605,170000,1140.9900000,1142.0000000,1133.1900000,1140.2200000,180392
US1.GOOG,60,20180605,180000,1140.4700000,1145.7400000,1139.2500000,1144.8600000,162238
US1.GOOG,60,20180605,190000,1144.6800000,1145.0000000,1134.7000000,1138.1500000,209805
US1.GOOG,60,20180605,200000,1137.5800000,1137.8100000,1135.1100000,1137.3000000,48189
US1.GOOG,60,20180605,210000,1137.3900000,1139.9300000,1137.1300000,1137.9100000,35858
US1.GOOG,60,20180605,220000,1137.9600000,1142.0000000,1136.3300000,1140.9100000,71235
US1.GOOG,60,20180605,230000,1140.6200000,1141.5500000,1138.0100000,1139.2500000,163766
US1.GOOG,60,20180606,170000,1142.1700000,1143.0000000,1134.2400000,1134.2400000,164223
US1.GOOG,60,20180606,180000,1134.6000000,1136.2100000,1127.6900000,1132.7800000,157994
US1.GOOG,60,20180606,190000,1132.5300000,1138.2800000,1132.5300000,1136.3800000,93007
US1.GOOG,60,20180606,200000,1136.7200000,1137.5100000,1132.9000000,1133.5600000,58694
US1.GOOG,60,20180606,210000,1133.6800000,1134.9900000,1125.7400000,1129.4300000,128054
US1.GOOG,60,20180606,220000,1129.6200000,1135.3600000,1129.6200000,1135.2400000,67510
US1.GOOG,60,20180606,230000,1134.9400000,1137.8800000,1133.0300000,1136.8800000,182518
US1.GOOG,60,20180607,170000,1133.8000000,1135.8200000,1128.7000000,1132.4300000,159537
US1.GOOG,60,20180607,180000,1132.3600000,1132.8800000,1116.5200000,1121.0000000,270266
US1.GOOG,60,20180607,190000,1121.1900000,1127.4300000,1119.5900000,1123.7000000,76772
US1.GOOG,60,20180607,200000,1123.2400000,1126.4000000,1118.1200000,1120.2000000,59848
US1.GOOG,60,20180607,210000,1120.0600000,1121.5100000,1117.4000000,1120.0100000,67254
US1.GOOG,60,20180607,220000,1120.1000000,1127.2800000,1118.8000000,1125.0800000,55237
US1.GOOG,60,20180607,230000,1125.4900000,1126.6800000,1122.6700000,1123.9100000,105157
US1.GOOG,60,20180608,170000,1118.1800000,1121.8000000,1117.2900000,1119.2500000,100098
US1.GOOG,60,20180608,180000,1119.1400000,1119.5900000,1112.1500000,1117.5700000,133119
US1.GOOG,60,20180608,190000,1117.8100000,1123.3400000,1117.3000000,1121.4300000,73787
US1.GOOG,60,20180608,200000,1121.9800000,1124.7300000,1121.0000000,1123.7400000,42425
US1.GOOG,60,20180608,210000,1123.7300000,1124.4800000,1122.3600000,1123.5000000,26728
US1.GOOG,60,20180608,220000,1123.0600000,1126.6700000,1123.0000000,1124.0000000,36385
US1.GOOG,60,20180608,230000,1123.9400000,1124.4800000,1119.5900000,1121.1300000,157649
US1.GOOG,60,20180611,170000,1118.6000000,1128.9900000,1118.6000000,1127.1000000,132845
US1.GOOG,60,20180611,180000,1127.1500000,1127.1900000,1120.8500000,1124.6100000,78716
US1.GOOG,60,20180611,190000,1125.4200000,1135.5400000,1123.5100000,1134.4000000,112734
US1.GOOG,60,20180611,200000,1135.2500000,1137.2600000,1134.3900000,1135.3000000,43882
US1.GOOG,60,20180611,210000,1135.3800000,1136.9100000,1133.7100000,1134.5400000,43265
US1.GOOG,60,20180611,220000,1134.8700000,1134.8700000,1131.5500000,1132.6100000,40140
